pair_id,level_id,competency_id,effective_behaviour,ineffective_behaviour
1,6,1,"Develop an in-depth insight into the dynamics and issues surrounding the Department and Government, including political, economic, social, environmental and technological impacts ","Focus on short term concerns, neglect long-term thinking about evolving and future issues and considerations for the Civil Service and Department "
3,6,1,Clarify and shape the Department‟s role and purpose in delivering Civil Service priorities for the public and economic good ,Show limited insight into Government expectations of the Department in generating value and growth in the UK 
5,6,1,Understand where the Department sits within and aligns across the Civil Service ,Focus on own immediate area of concern and not see interconnections across Civil Service 
7,6,1,Articulate the Department‟s business model and help people see their role within it ,Lack clarity about own role and that of staff in delivering the work of the Department 
9,6,1,"Create clear long-term strategies focused on adding value to the citizen and making real, lasting change beyond the Civil Service ",Focus primarily on continuing historical activities based on short term priorities not linked to clear value and delivery for the citizen and the economy 
11,6,1,Fully engage with and utilise Non Executive Directors wider experience and knowledge to support strategic decision making ,"Operate independently, without reference to the wider system of knowledge and experience around them "
13,5,1,"Anticipate and predict the long term impact of national and international developments, including economic, political, environmental, social and technological, on own area ",Have limited insight into the changes and developments surrounding own area 
15,5,1,Identify and shape how own area fits within and supports the work of the Department ,Give limited attention to the bigger issues and interactions across departments and outside the Civil Service when defining strategy 
17,5,1,"Develop an in-depth insight into customers, citizens, services, communities and markets affected by their area and the wider public sector context ",Lack insight into the wider context for own area – take a simplistic perspective on the issues and concerns of stakeholders 
19,5,1,"Create joined up strategies and plans that have positive impact and add value for stakeholders, citizens and communities ",Develop strategies and plans with limited reference to the impact and value they will bring to the key stakeholders and to citizens now and in the future 
21,5,1,"Shape strategies and plans which help put into practice and support the Department‟s vision and long-term direction, including those shared with other departments ",Maintain a narrow perspective – allow own area to become out of step or work against the overall objectives of the Department 
23,4,1,"Anticipate economic, social, political, environmental and technological developments to keep activity relevant and targeted ","Demonstrate lack of knowledge and insight into wider issues, developments and impacts related to own business area "
25,4,1,Identify implications of Departmental and political priorities and strategy on own area to ensure plans and activities reflect these ,Operate within own area without sufficient regard to how it creates value and supports the delivery of Departmental goals 
27,4,1,"Create policies, plans and service provision to meet citizens‟ diverse needs based on an up-to-date knowledge of needs, issues and relevant good practice ",Continue to apply outdated practices which are unable to meet the diverse needs of citizens 
31,4,1,Ensures relevant issues relating to their activity/policy area are effectively fed into strategy and big picture considerations ,"Miss opportunities to ensure important issues are considered by senior staff, raises small details as big picture issues "
33,4,1,Adopt a Government-wide perspective to ensure alignment of activity and policy ,Only consider the context of own business area and not those of others or of the organisation as a whole 
35,4,1,Bring together views and perspectives of stakeholders to gain a wider picture of the landscape surrounding activities and policies ,Lack clarity of or interest in gaining wider stakeholder perspectives 
37,3,1,Be alert to emerging issues and trends which might impact or benefit own and team‟s work ,Ignore changes in the external environment that have implications for Departmental policy and considerations 
39,3,1,Develop an understanding of own area‟s strategy and how this contributes to Departmental priorities ,Shows limited interest in or understanding of Departmental priorities and what they mean for activities in their area 
41,3,1,Ensure own area/team activities are aligned to Departmental priorities ,Be overly focused on team and individual activities without due regard for how they meet the demands of the Department as a whole 
43,3,1,Actively seek out and share experience to develop understanding and knowledge of own work and of team‟s business area ,Take actions which conflict with or mis-align to other activities 
45,3,1,"Seek to understand how the services, activities and strategies in the area work together to create value for the customer/end user ",Commit to actions without consideration of the impact on the diverse needs of customers/end users – apply a „one size fits all‟ approach 
47,2,1,Keep up to date with a broad set of issues relating to the work of the Department ,"Have a narrow view of their role, without understanding the Department‟s wider activities "
49,2,1,Develop understanding of how own and team‟s work supports achievement of Departmental priorities and delivery to the citizen ,Carry out own tasks without considering how their work impacts or interacts with other teams 
51,2,1,"Focus on the overall goal and intent of what they are trying to achieve, not just the task ",Fail to identify occasions when professional judgement and personal initiative are called for in order to deliver business objectives 
53,2,1,Take an active interest in expanding their knowledge of areas related to own role ,Rely solely on the knowledge they have already established about their role 
55,1,1,Gather information from a range of relevant sources inside and outside their Department to inform own work ,Take actions/decisions without regard to the bigger picture 
57,1,1,Understand what is required of them in their role and how this contributes to team and Departmental priorities ,"Show little interest in the work of the Department, not appreciating they have a role in meeting priorities "
59,1,1,Consider how their own job links with and impacts on colleagues and others in partner organisations ,Work on own tasks in isolation showing little interest in the wider context and relevant developments outside their immediate area 
61,6,2,"Challenge bureaucratic decision making, resourcing structures and processes across the Department and Civil Service to create a lean, flat and effective organisation. ",Create/tolerate bureaucracies and inefficient ways of working which hinder effectiveness 
63,6,2,Seek out opportunities for innovation and have the courage to take risks and make step changes to how things are done ,"Argue to retain the status quo, support current approaches, activities and processes without challenge, avoiding innovations and risks "
65,6,2,Rethink systems and partnership approaches to simplify the Department and Civil Service ,Continue with ineffective systems and partnership approaches 
67,6,2,"Create a culture of flexibility and responsiveness, mobilising the Department to respond swiftly to changing priorities ","Tolerate colleagues operating in rigid, bureaucratic ways "
69,6,2,Challenge the status quo and accepted assumptions at the highest levels across the Civil Service ,Support incremental improvements within isolated areas rather than any fundamental shifts in approach 
71,6,2,"Consider fully the impact of change on organisation culture, wider Government structures and economic growth ","Adopt a piecemeal approach to change management, focusing on tasks at the expense of culture and morale "
73,5,2,"Seek and encourage ideas, improvements and measured risk taking within own area to deliver better approaches and services ",Restrict changes to own portfolio – do not integrate or align with change in other areas 
75,5,2,"Encourage a culture of imaginative thinking, seek to expand mindsets and genuinely listen to ideas from employees and stakeholders ",Create a punitive environment for risk taking and responsive decision making – show intolerance of mistakes 
77,5,2,"Identify step changes that quickly transform flexibility, responsiveness and quality of service ",Allow own area to become outdated and out of step with evolving changes and wider service requirements 
79,5,2,Challenge the status quo in own and related areas to achieve value-adding improvements and change ,Contribute to a culture of inertia across own portfolio of activities by focusing managers on delivering things as they always have 
81,5,2,"Lead the transformation of services to users, moving to a digital approach whenever possible ",Miss opportunities to use alternative delivery models 
83,5,2,"Create effective plans, systems and governance to manage change and respond promptly to critical events ",Adopt an unsystematic approach to change management – cause confusion about priorities and timelines 
85,4,2,Understand and identify the role of technology in public service delivery and policy implementation ,Ignore developments in technology that could benefit public service delivery and policy implementation 
87,4,2,Encourage a culture of innovation focused on adding value – give people space to think creatively ,Take a narrow and risk averse approach to proposed new approaches by not taking or following up on ideas seriously 
89,4,2,"Effectively capture, utilise and share customer insight and views from a diverse range of stakeholders to ensure better policy and delivery ","Fail to effectively capture, utilise and share customer insight appropriately in the development of policies and services "
91,4,2,Spot warning signs of things going wrong and provide a decisive response to significant delivery challenges ,Remain wedded to the course that they have set and unresponsive to the changing demands of the situation 
93,4,2,Provide constructive challenge to senior management on change proposals which will affect own business area ,"Spend limited time on engaging experts and relevant individuals in developing and testing proposals, failing to pass on relevant staff feedback "
95,4,2,"Consider the cumulative impact on own business area of implementing change (culture, structure, service and morale) ",Give limited time to acknowledging anxieties and overcoming cynicism 
97,3,2,Find ways to improve systems and structures to deliver with more streamlined resources ,Retain resource intensive systems and structures that are considered too difficult to change 
99,3,2,Regularly review procedures or systems with teams to identify improvements and simplify processes and decision making ,Repeat mistakes and overlook lessons learned from changes that have been less effective in the past 
101,3,2,"Be prepared to take managed risks, ensuring these are planned and their impact assessed ",Have ideas that are unfocused and have little connection to the realities of the business or customer needs 
103,3,2,Actively encourage ideas from a wide range of sources and stakeholders and use these to inform own thinking ,Not listen to suggested changes and not give reasons as to why the suggestion is not feasible 
105,3,2,"Be willing to meet the challenges of difficult or complex changes, encouraging and supporting others to do the same ",Resist changing own approach in response to the new demands - adopting a position of „always done things like this‟ 
107,3,2,Prepare for and respond appropriately to the range of possible effects that change may have on own role/team ,Take little responsibility for suggesting or progressing changes due to perceived lack of control of processes 
109,2,2,Understand and apply technology to achieve efficient and effective business and personal results ,Avoid use of technology and stick to tried and tested means of delivering business objectives 
111,2,2,"Consider and suggest ideas for improvements, sharing this feedback with others in a constructive manner ","Be reluctant to consider ways to improve services in own area, even when improvements are urgently required "
113,2,2,Conduct regular reviews of what and who is required to make a project/activity successful and make on-going improvements ,"Stick rigidly to the original brief, not adapting support/input to changing needs "
115,2,2,Put aside preconceptions and consider new ideas on their own merits ,"Avoid considering different approaches, accepting the established way of doing things "
117,2,2,"Help colleagues, customers and corporate partners to understand changes and why they have been introduced ",Dismiss colleagues‟ concerns about change and miss opportunities to discuss with them what is behind their concerns 
119,2,2,"Identify, resolve or escalate the positive and negative effects that change may have on own role/team ","Implement change in a thoughtless and unstructured way, having not considered the possible effects it may have on others "
121,1,2,Review working practices and come up with ideas to improve the way things are done ,Remain attached to outdated procedures and technologies 
123,1,2,"Learn new procedures, seek to exploit new technologies and help colleagues to do the same ",Adopt new processes without reporting difficulties that occur 
125,1,2,Co-operate with and be open to the possibilities of change and consider ways to implement and adapt to change in own work role ,Constantly make negative comments about change – unwilling to consider how change could help in own role 
127,1,2,Be constructive in raising issues with managers about implemented changes and the impact these are having on the service ,"Be resistant to listening to ideas or plans for change, showing little interest in the reasons for change and how they can adapt their behaviour to thrive in the new environment "
129,1,2,Respond effectively to emergencies ,Resistant to sudden changes to usual work routine 
131,6,3,"Navigate and balance a range of political, national and international pressures to shape the Department‟s strategy and priorities ","Omit consideration of sustainable long-term development in strategy and give limited consideration to social, environmental or economic factors in analysis "
133,6,3,Swiftly analyse complex and ambiguous data to provide clarity of thinking to the Department ,Lack confidence in making decisions when the situation is unclear and constantly call for more information 
135,6,3,Involve the right stakeholders and partners in making recommendations or decisions early on and continue to engage them ,Provide recommendations or decisions without full and proper consultation 
137,6,3,Identify and evaluate risks and options and develop Department wide strategies to manage and mitigate ,"Provide advice without full evaluation of risk, scenarios and options "
139,6,3,Make unpopular decisions and defend them at the highest level when required ,"Constantly change decisions based on new opinions, information or challenge "
141,6,3,"Give unbiased advice to Ministers based on robust analysis, not just what is welcomed ",Opt to give advice which the Minister/stakeholder wants to hear and ignore contrary evidence 
143,5,3,Interpret a wide range of political and national pressures and influences to develop strategies ,Give limited consideration to long-term sustainability or diversity impacts when shaping strategies and plans 
145,5,3,Weigh up competing views to generate ways forward which will meet organisational goals ,Have to continually revisit decisions due to lack of or poor quality analysis and evidence 
147,5,3,Ensure involvement and consultation where necessary and take decisive action when required ,Fail to follow a broad consultation process when coming to key decisions 
149,5,3,"Articulate options and large-scale reputational risks and impacts, including economic, environmental, political and social, and recommend plans to manage and mitigate ","Provide advice without full consideration of risk, scenarios and options "
151,5,3,"Take quick, confident decisions at a strategic level to move things forward ","Constantly change decisions based on new opinions, information or challenge "
153,5,3,"Outline direction of travel, recommendations and decisions for their area, taking account of financial and implementation issues ",Overlook key information relating to cost and implementation issues 
155,4,3,"Push decision making to the right level within their teams, not allow unnecessary bureaucracy and structure to suppress innovation and delivery ",Involve only those in their peer group or direct reporting line in decision making 
157,4,3,"Weigh up data from various sources, recognising when to bring in experts/researchers to add to available information ",Underestimate the work required to consider all the evidence needed and do not involve experts sufficiently early 
159,4,3,"Analyse and evaluate pros and cons and identify risks in order to make decisions that take account of the wider context, including diversity and sustainability ","Take decisions without regard for the context, organisation risk, alignment with wider agendas or impacts (economic, social and environmental) "
161,4,3,Draw together and present reasonable conclusions from a wide range of incomplete and complex evidence and data – able to act or decide even when details are not clear ,Get confused by complexity and ambiguity and consider only simple or straightforward evidence 
163,4,3,"Identify the main issues in complex problems, clarify understanding or stakeholder expectations, to seek best option ","Rely too heavily on gut instinct and provide unclear, incoherent or illogical analysis of core issues "
165,4,3,Make difficult decisions by pragmatically weighing the complexities involved against the need to act ,Make expedient decisions that offer less resistance or risk to themselves rather than decisions that are best for the business 
167,3,3,"Make decisions when they are needed, even if they prove difficult or unpopular ",Miss opportunities or deadlines by delaying decisions 
169,3,3,Identify a range of relevant and credible information sources and recognise the need to collect new data when necessary from internal and external sources ,Only use evidence sources that support arguments or are easily accessible 
171,3,3,Recognise patterns and trends in a wide range of evidence/data and draw key conclusions ,Come to conclusions that are not supported by evidence 
173,3,3,"Explore different options outlining costs, benefits, risks and potential responses to each ",Give little consideration to the people and resources impacted by decisions 
175,3,3,Recognise scope of own authority for decision making and empower team members to make decisions ,Create confusion by omitting to inform relevant people of amendments or decisions causing delays in implementation 
177,3,3,Invite challenge and where appropriate involve others in decision making to help build engagement and present robust recommendations ,Consistently make decisions in isolation or with a select group 
179,2,3,Demonstrate accountability and make unbiased decisions ,Avoid making decisions that lie within own remit; continually push decisions up 
181,2,3,Examine complex information and obtain further information to make accurate decisions ,Miss important evidence or make hasty judgements 
183,2,3,Speak with the relevant people in order to obtain the most accurate information and get advice when unsure of how to proceed ,Encounter problems by failing to check issues and relevance of information before using it 
185,2,3,"Explain clearly, verbally and in writing, how a decision has been reached ",Share decisions in a way that leads to frustration or additional work 
187,2,3,Provide advice and feedback to support others to make accurate decisions ,Provide limited or no assurance that the right decisions are being made in team/work area 
189,2,3,"Monitor the storage of critical data and customer information to support decision making and conduct regular reviews to ensure it is stored accurately, confidentially and responsibly ",Take little care with data and information storage; allow inaccuracies and mishandling to occur 
191,1,3,"Make and record effective decisions following the appropriate decision making criteria, framework or guidance ",Compromise the consistency and quality of decision making 
